Parameter Name,Value
General Information,
Sample name:,
Start of measurement:,11*16*2018 3:01:25 PM
Stop of measurement:,11*21*2018 1:41:29 PM
Duration of Measurements:,4 Days
Geometric Parameters,
Soil surface area [cm2]:,249
Soil column height [cm]:,5.1
Position lower tensiometer [cm]:,3.75
Position upper tensiometer [cm]:,1.25
HYPROP Parameters,
Measurement head net weight [g]:,388
Empty soil sampling ring weight [g]:,204.6
Air entry pressure upper tensiometer [bar]:,8.8
Air entry pressure lower tensiometer [bar]:,8.8
Density of solid substance [g/cm3]:,2.65
Statistical analysis,
Tensiometer [hPa]:,0.15
Scale [g]:,0.05
Sensor Unit Information,
Busnumber:,29
Subaddress:,3
Serial number:,2082
Sensor unit name:,MY-HYPROP---
Firmware Version:,1.4
Scale Information,
Serial number:,184226046
Scale name:,HYPROP Balance
Correction,
Volume correction [ml]:,0
Weight correction [g]:,0
Start/Stop Line,
Start,11*16*2018 3:01:25 PM
Stop,11*20*2018 1:46:54 PM
,
Calculation of water contents,
Calculation of water contents,From dry soil weight [g]:
Initial water content [Vol%]:,0.495050295434817
Dry soil weight [g]:,116
Additional Soil Paramters,
Density [g/cm3]:,1.17
Porosity [-]:,0.56
Fitting Parameters,
INTERPOL,2
Tensiometer_Mean,2
Polynomial_degree,5
wtheta,1
wk,0.001
Fitting,
Model Description,traditional constrained van Genuchten-Mualem model
Notes,
General data,
- Site coordinates,
- Sampling date,
- Site description,
- Soil type,
- Land use,
Soil physical data,
"- Texture (%clay, %silt, %sand)",
- Soil texture class,
- Sampling depth,
- Organic carbon content,
Sample preparation and handling,
- Initial saturation procedure,
"- Swelling handling (suppressed, not suppressed, under load)",
Date / Time,Tension bottom [hPa],Tension top [hPa],Temperature [°C],Gross weight [g],Net weight [g],Weight change [g]
11*17*2018 1:06:32 PM,22.48,25.46,15.26,749.44,156.84,-8.17
11*17*2018 1:16:35 PM,22.84,25.82,15.27,749.38,156.78,-8.23
11*17*2018 1:26:52 PM,22.96,25.96,15.27,749.33,156.73,-8.28
11*17*2018 1:37:05 PM,23.25,26.22,15.27,749.26,156.66,-8.35
11*17*2018 1:47:20 PM,23.47,26.49,15.27,749.21,156.61,-8.4
11*17*2018 1:57:34 PM,23.79,26.79,15.27,749.16,156.56,-8.45
11*17*2018 2:07:49 PM,23.91,26.9,15.26,749.1,156.5,-8.51
11*17*2018 2:18:08 PM,24.19,27.2,15.26,749.04,156.44,-8.57
11*17*2018 2:28:23 PM,24.37,27.37,15.26,748.98,156.38,-8.63
11*17*2018 2:38:38 PM,24.67,27.67,15.26,748.92,156.32,-8.69
11*17*2018 2:48:54 PM,24.87,27.91,15.26,748.87,156.27,-8.74
11*17*2018 2:58:59 PM,25.2,28.23,15.26,748.81,156.21,-8.8
11*17*2018 3:09:16 PM,25.53,28.51,15.25,748.74,156.14,-8.87
11*17*2018 3:19:17 PM,25.85,28.82,15.25,748.7,156.1,-8.91
11*17*2018 3:29:32 PM,26.11,29.13,15.23,748.64,156.04,-8.97
11*17*2018 3:39:49 PM,26.32,29.35,15.22,748.59,155.99,-9.02
11*17*2018 3:50:04 PM,26.62,29.63,15.21,748.54,155.94,-9.07
11*17*2018 4:00:05 PM,26.83,29.76,15.2,748.48,155.88,-9.13
11*17*2018 4:10:06 PM,27.06,30.05,15.18,748.42,155.82,-9.19
11*17*2018 4:20:24 PM,27.26,30.24,15.16,748.37,155.77,-9.24
11*17*2018 4:30:25 PM,27.56,30.54,15.14,748.31,155.71,-9.3
11*17*2018 4:40:41 PM,27.86,30.84,15.11,748.26,155.66,-9.35
11*17*2018 4:50:43 PM,28.1,31.12,15.07,748.2,155.6,-9.41
11*17*2018 5:00:58 PM,28.42,31.51,15.04,748.14,155.54,-9.47
11*17*2018 5:11:10 PM,28.71,31.67,15,748.09,155.49,-9.52
11*17*2018 5:21:11 PM,28.98,31.95,14.96,748.04,155.44,-9.57
11*17*2018 5:31:26 PM,29.21,32.22,14.91,747.98,155.38,-9.63
11*17*2018 5:41:44 PM,29.47,32.49,14.87,747.93,155.33,-9.68
11*17*2018 5:52:02 PM,29.66,32.67,14.83,747.87,155.27,-9.74
11*17*2018 6:02:18 PM,29.95,33.09,14.79,747.83,155.23,-9.78
11*17*2018 6:12:36 PM,30.35,33.36,14.75,747.77,155.17,-9.84
11*17*2018 6:22:49 PM,30.68,33.69,14.72,747.72,155.12,-9.89
11*17*2018 6:32:50 PM,30.8,33.85,14.69,747.67,155.07,-9.94
11*17*2018 6:43:05 PM,31.09,34.13,14.66,747.61,155.01,-10
11*17*2018 6:53:19 PM,31.46,34.46,14.63,747.56,154.96,-10.05
11*17*2018 7:03:38 PM,31.72,34.64,14.6,747.5,154.9,-10.11
11*17*2018 7:13:39 PM,32.07,35.11,14.57,747.45,154.85,-10.16
11*17*2018 7:23:58 PM,32.39,35.37,14.54,747.4,154.8,-10.21
11*17*2018 7:34:15 PM,32.72,35.72,14.52,747.34,154.74,-10.27
11*17*2018 7:44:17 PM,32.97,35.98,14.5,747.29,154.69,-10.32
11*17*2018 7:54:23 PM,33.26,36.27,14.49,747.24,154.64,-10.37
11*17*2018 8:04:40 PM,33.57,36.58,14.47,747.18,154.58,-10.43
11*17*2018 8:14:57 PM,33.79,36.82,14.45,747.14,154.54,-10.47
11*17*2018 8:25:11 PM,34.08,37.11,14.43,747.08,154.48,-10.53
11*17*2018 8:35:29 PM,34.36,37.36,14.41,747.03,154.43,-10.58
11*17*2018 8:45:31 PM,34.66,37.67,14.39,746.97,154.37,-10.64
11*17*2018 8:55:48 PM,35,38.02,14.37,746.92,154.32,-10.69
11*17*2018 9:06:04 PM,35.36,38.38,14.36,746.87,154.27,-10.74
