Parameter Name,Value
General Information,
Sample name:,
Start of measurement:,10*4*2018 2:55:20 PM
Stop of measurement:,10*7*2018 6:14:07 PM
Duration of Measurements:,3 Days
Geometric Parameters,
Soil surface area [cm2]:,249
Soil column height [cm]:,5.1
Position lower tensiometer [cm]:,3.75
Position upper tensiometer [cm]:,1.25
HYPROP Parameters,
Measurement head net weight [g]:,388
Empty soil sampling ring weight [g]:,208.6
Air entry pressure upper tensiometer [bar]:,8.8
Air entry pressure lower tensiometer [bar]:,8.8
Density of solid substance [g/cm3]:,2.65
Statistical analysis,
Tensiometer [hPa]:,0.15
Scale [g]:,0.05
Sensor Unit Information,
Busnumber:,29
Subaddress:,3
Serial number:,2082
Sensor unit name:,MY-HYPROP---
Firmware Version:,1.4
Scale Information,
Serial number:,184226046
Scale name:,HYPROP Balance
Correction,
Volume correction [ml]:,0
Weight correction [g]:,0
Start/Stop Line,
Start,10*4*2018 2:55:20 PM
Stop,10*7*2018 6:04:04 PM
,
Calculation of water contents,
Calculation of water contents,From dry soil weight [g]:
Initial water content [Vol%]:,0.570302943990688
Dry soil weight [g]:,101.5
Additional Soil Paramters,
Density [g/cm3]:,1.03
Porosity [-]:,0.61
Fitting Parameters,
INTERPOL,2
Tensiometer_Mean,2
Polynomial_degree,5
wtheta,1
wk,0.001
Fitting,
Model Description,traditional constrained van Genuchten-Mualem model
Notes,
General data,
- Site coordinates,
- Sampling date,
- Site description,
- Soil type,
- Land use,
Soil physical data,
"- Texture (%clay, %silt, %sand)",
- Soil texture class,
- Sampling depth,
- Organic carbon content,
Sample preparation and handling,
- Initial saturation procedure,
"- Swelling handling (suppressed, not suppressed, under load)",
Date / Time,Tension bottom [hPa],Tension top [hPa],Temperature [°C],Gross weight [g],Net weight [g],Weight change [g]
10*5*2018 5:46:31 AM,26.08,29.38,16.67,749.95,153.35,-4.61
10*5*2018 5:56:39 AM,26.48,29.85,16.65,749.9,153.3,-4.66
10*5*2018 6:06:43 AM,26.91,30.21,16.64,749.85,153.25,-4.71
10*5*2018 6:16:46 AM,27.21,30.54,16.63,749.8,153.2,-4.76
10*5*2018 6:26:51 AM,27.66,30.92,16.63,749.75,153.15,-4.81
10*5*2018 6:36:52 AM,28.01,31.32,16.62,749.71,153.11,-4.85
10*5*2018 6:47:02 AM,28.43,31.76,16.62,749.66,153.06,-4.9
10*5*2018 6:57:05 AM,28.63,31.88,16.61,749.61,153.01,-4.95
10*5*2018 7:07:09 AM,29.06,32.33,16.6,749.56,152.96,-5
10*5*2018 7:17:14 AM,29.54,32.81,16.59,749.52,152.92,-5.04
10*5*2018 7:27:19 AM,29.92,33.24,16.58,749.48,152.88,-5.08
10*5*2018 7:37:24 AM,30.36,33.61,16.57,749.43,152.83,-5.13
10*5*2018 7:47:30 AM,30.74,34.07,16.57,749.38,152.78,-5.18
10*5*2018 7:57:32 AM,31.15,34.44,16.56,749.33,152.73,-5.23
10*5*2018 8:07:43 AM,31.57,34.85,16.56,749.28,152.68,-5.28
10*5*2018 8:17:47 AM,31.88,35.2,16.55,749.24,152.64,-5.32
10*5*2018 8:28:04 AM,32.31,35.64,16.55,749.19,152.59,-5.37
10*5*2018 8:38:04 AM,32.78,36.05,16.55,749.15,152.55,-5.41
10*5*2018 8:48:05 AM,33.24,36.58,16.55,749.11,152.51,-5.45
10*5*2018 8:58:10 AM,33.66,36.94,16.56,749.07,152.47,-5.49
10*5*2018 9:08:28 AM,33.95,37.23,16.57,749.02,152.42,-5.54
10*5*2018 9:18:34 AM,34.37,37.65,16.59,748.98,152.38,-5.58
